haproxy-cfg-frontent-name;region-instance;frontend-name;ip-address;ip-scope;ip-name;listener-name;request-type;listener-protocol;listener-port;certificate-name;agw-managed-identity;key-vault;certificate;ssl-profile;listener-type;host-type;implement;domain;hostnames;url-path;url-parameters;routing-rule-name;redir;backend-name;backend-server-name;backend-port;backend-fqdn-or-ip;backend-protocol;backend-comments;bad-gateway-502-page;forbidden-403-page;internal-server-error-500-page;service-unavailable-503-page;gateway timeout-504-page;bad-request-400-page;method-not-allowed-405-page;request-timeout-408-page;Notes
FRONTEND_VIP_4.180.112.137;beta;Beta-Staging-QA-Public-IP-Frontend;4.180.112.137;Public;betaGwPublicFrontendIpIPv4;Listener-FE-443-beta-hosts1-360imprimir.com.br-BE-80-vmss;forward;https;443;wild--beta-360imprimir-com-br;;lab-bizay-kv-02;wild--beta-360imprimir-com-br;;Multiple/Wildcard;Multi site;Y;360imprimir.com.br;beta.360imprimir.com.br;/payment/multipaymentsystemcallback;;;;BACKEND.360imprimir-beta.BR;STORE-BETA-VMSS;80;10.7.10.14;http;;;;;;;;;;
FRONTEND_VIP_4.180.112.137;beta;Beta-Staging-QA-Public-IP-Frontend;4.180.112.137;Public;betaGwPublicFrontendIpIPv4;Listener-FE-443-beta-hosts1-360imprimir.com.br-BE-80-vmss;forward;https;443;wild--beta-360imprimir-com-br;;lab-bizay-kv-02;wild--beta-360imprimir-com-br;;Multiple/Wildcard;Multi site;Y;360imprimir.com.br;beta.mailer.360imprimir.com.br;;;;;BACKEND.360imprimir-beta.BR;STORE-BETA-VMSS;80;10.7.10.14;http;;;;;;;;;;
FRONTEND_VIP_4.180.112.137;beta;Beta-Staging-QA-Public-IP-Frontend;4.180.112.137;Public;betaGwPublicFrontendIpIPv4;Listener-FE-9590-beta-wild-360imprimir.dev-BE-9590-dck;forward;https;9590;wild--beta-360imprimir-dev;;lab-bizay-kv-02;wild--beta-360imprimir-dev;;Multiple/Wildcard;Multi site;Y;360imprimir.dev;studioeventsourcing.beta.360imprimir.dev;;;;;BACKEND.studio360eventsourcing;BE-BETA-DCK1 BE-BETA-DCK2;9590;10.7.10.31 10.7.10.32;http;;;;;;;;;;
FRONTEND_VIP_4.180.112.137;beta;Beta-Staging-QA-Public-IP-Frontend;4.180.112.137;Public;betaGwPublicFrontendIpIPv4;Listener-FE-9590-beta-wild-360imprimir.com-BE-9590-dck;forward;https;9590;wild--beta-360imprimir-com;;lab-bizay-kv-02;wild--beta-360imprimir-com;;Multiple/Wildcard;Multi site;Y;360imprimir.com;studioeventsourcing.beta.360imprimir.com;;;;;BACKEND.studio360eventsourcing;BE-BETA-DCK1 BE-BETA-DCK2;9590;10.7.10.31 10.7.10.32;http;;;;;;;;;;
FRONTEND_VIP_4.180.112.137;beta;Beta-Staging-QA-Public-IP-Frontend;4.180.112.137;Public;betaGwPublicFrontendIpIPv4;Listener-FE-9090-beta-wild-360imprimir.dev-BE-9090-dck;forward;https;9090;wild--beta-360imprimir-dev;;lab-bizay-kv-02;wild--beta-360imprimir-dev;;Multiple/Wildcard;Multi site;Y;360imprimir.dev;studiocoreapi.beta.360imprimir.dev;;;;;BACKEND.studio360coreapi;BE-BETA-DCK1 BE-BETA-DCK2;9090;10.7.10.31 10.7.10.32;http;;;;;;;;;;
FRONTEND_VIP_4.180.112.137;beta;Beta-Staging-QA-Public-IP-Frontend;4.180.112.137;Public;betaGwPublicFrontendIpIPv4;Listener-FE-9090-beta-wild-360imprimir.com-BE-9090-dck;forward;https;9090;wild--beta-360imprimir-com;;lab-bizay-kv-02;wild--beta-360imprimir-com;;Multiple/Wildcard;Multi site;Y;360imprimir.com;studiocoreapi.beta.360imprimir.com;;;;;BACKEND.studio360coreapi;BE-BETA-DCK1 BE-BETA-DCK2;9090;10.7.10.31 10.7.10.32;http;;;;;;;;;;
FRONTEND_VIP_4.180.112.137;beta;Beta-Staging-QA-Public-IP-Frontend;4.180.112.137;Public;betaGwPublicFrontendIpIPv4;Listener-FE-9190-beta-wild-360imprimir.dev-BE-9190-dck;forward;https;9190;wild--beta-360imprimir-dev;;lab-bizay-kv-02;wild--beta-360imprimir-dev;;Multiple/Wildcard;Multi site;Y;360imprimir.dev;studiotemplateapi.beta.360imprimir.dev;;;;;BACKEND.studio360templateapi;BE-BETA-DCK1 BE-BETA-DCK2;9190;10.7.10.31 10.7.10.32;http;;;;;;;;;;
FRONTEND_VIP_4.180.112.137;beta;Beta-Staging-QA-Public-IP-Frontend;4.180.112.137;Public;betaGwPublicFrontendIpIPv4;Listener-FE-9190-beta-wild-360imprimir.com-BE-9190-dck;forward;https;9190;wild--beta-360imprimir-com;;lab-bizay-kv-02;wild--beta-360imprimir-com;;Multiple/Wildcard;Multi site;Y;360imprimir.com;studiotemplateapi.beta.360imprimir.com;;;;;BACKEND.studio360templateapi;BE-BETA-DCK1 BE-BETA-DCK2;9190;10.7.10.31 10.7.10.32;http;;;;;;;;;;
FRONTEND_VIP_4.180.112.137;beta;Beta-Staging-QA-Public-IP-Frontend;4.180.112.137;Public;betaGwPublicFrontendIpIPv4;Listener-FE-9290-beta-wild-360imprimir.dev-BE-9290-dck;forward;https;9290;wild--beta-360imprimir-dev;;lab-bizay-kv-02;wild--beta-360imprimir-dev;;Multiple/Wildcard;Multi site;Y;360imprimir.dev;userimagesservicept.beta.360imprimir.dev;;;;;BACKEND.userimagesservice_pt;BE-BETA-DCK1 BE-BETA-DCK2;9290;10.7.10.31 10.7.10.32;http;;;;;;;;;;
FRONTEND_VIP_4.180.112.137;beta;Beta-Staging-QA-Public-IP-Frontend;4.180.112.137;Public;betaGwPublicFrontendIpIPv4;Listener-FE-9290-beta-wild-360imprimir.pt-BE-9290-dck;forward;https;9290;wild--beta-360imprimir-pt;;lab-bizay-kv-02;wild--beta-360imprimir-pt;;Multiple/Wildcard;Multi site;Y;360imprimir.pt;userimagesservice.beta.360imprimir.pt;;;;;BACKEND.userimagesservice_pt;BE-BETA-DCK1 BE-BETA-DCK2;9290;10.7.10.31 10.7.10.32;http;;;;;;;;;;
